Nome da Origem;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
ImagingLog_e01.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;08:31:12;15/01/2024;08:33:41;2 minutes 29 seconds;Deploy;00:02:29
ImagingLog_e01.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;08:31:15;15/01/2024;08:33:40;2 minutes 25 seconds;Deploy;00:02:25
ImagingLog_e01.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;08:31:07;15/01/2024;08:33:38;2 minutes 31 seconds;Deploy;00:02:31
ImagingLog_e01.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;08:31:12;15/01/2024;08:33:39;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e01.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:30;15/01/2024;08:33:39;2 minutes 9 seconds;Deploy;00:02:09
ImagingLog_e01.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:31;15/01/2024;08:33:40;2 minutes 9 seconds;Deploy;00:02:09
ImagingLog_e01.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:23;15/01/2024;08:33:39;2 minutes 16 seconds;Deploy;00:02:16
ImagingLog_e01.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:24;15/01/2024;08:33:39;2 minutes 15 seconds;Deploy;00:02:15
ImagingLog_e01.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:34;15/01/2024;08:33:40;2 minutes 6 seconds;Deploy;00:02:06
ImagingLog_e01.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:39;15/01/2024;08:33:40;2 minutes 1 second;Deploy;00:02:01
ImagingLog_e01.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:43;15/01/2024;08:33:39;1 minute 56 seconds;Deploy;00:01:56
ImagingLog_e01.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;08:31:35;15/01/2024;08:33:39;2 minutes 4 seconds;Deploy;00:02:04
ImagingLog_e01.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;08:31:02;15/01/2024;08:33:40;2 minutes 38 seconds;Deploy;00:02:38
ImagingLog_e01.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;08:31:32;15/01/2024;08:33:39;2 minutes 7 seconds;Deploy;00:02:07
ImagingLog_e02.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:06:46;15/01/2024;09:09:05;2 minutes 19 seconds;Deploy;00:02:19
ImagingLog_e02.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:06:49;15/01/2024;09:09:06;2 minutes 17 seconds;Deploy;00:02:17
ImagingLog_e02.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:06:39;15/01/2024;09:09:05;2 minutes 26 seconds;Deploy;00:02:26
ImagingLog_e02.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;09:06:43;15/01/2024;09:09:06;2 minutes 23 seconds;Deploy;00:02:23
ImagingLog_e02.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:04;15/01/2024;09:09:06;2 minutes 2 seconds;Deploy;00:02:02
ImagingLog_e02.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:02;15/01/2024;09:09:04;2 minutes 2 seconds;Deploy;00:02:02
ImagingLog_e02.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:06:57;15/01/2024;09:09:05;2 minutes 8 seconds;Deploy;00:02:08
ImagingLog_e02.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:06:59;15/01/2024;09:09:05;2 minutes 6 seconds;Deploy;00:02:06
ImagingLog_e02.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:07;15/01/2024;09:09:04;1 minute 57 seconds;Deploy;00:01:57
ImagingLog_e02.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:10;15/01/2024;09:09:04;1 minute 54 seconds;Deploy;00:01:54
ImagingLog_e02.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:23;15/01/2024;09:09:04;1 minute 41 seconds;Deploy;00:01:41
ImagingLog_e02.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:07:08;15/01/2024;09:09:05;1 minute 57 seconds;Deploy;00:01:57
ImagingLog_e02.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;09:06:36;15/01/2024;09:09:04;2 minutes 28 seconds;Deploy;00:02:28
ImagingLog_e02.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;09:07:06;15/01/2024;09:09:05;1 minute 59 seconds;Deploy;00:01:59
ImagingLog_e03.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:25:29;15/01/2024;09:27:46;2 minutes 17 seconds;Deploy;00:02:17
ImagingLog_e03.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:25:30;15/01/2024;09:27:48;2 minutes 18 seconds;Deploy;00:02:18
ImagingLog_e03.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;09:25:24;15/01/2024;09:27:46;2 minutes 22 seconds;Deploy;00:02:22
ImagingLog_e03.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;09:25:28;15/01/2024;09:27:46;2 minutes 18 seconds;Deploy;00:02:18
ImagingLog_e03.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:43;15/01/2024;09:27:46;2 minutes 3 seconds;Deploy;00:02:03
ImagingLog_e03.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:45;15/01/2024;09:27:48;2 minutes 3 seconds;Deploy;00:02:03
ImagingLog_e03.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:42;15/01/2024;09:27:47;2 minutes 5 seconds;Deploy;00:02:05
ImagingLog_e03.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:42;15/01/2024;09:27:47;2 minutes 5 seconds;Deploy;00:02:05
ImagingLog_e03.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:26:02;15/01/2024;09:27:46;1 minute 44 seconds;Deploy;00:01:44
ImagingLog_e03.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:53;15/01/2024;09:27:47;1 minute 54 seconds;Deploy;00:01:54
ImagingLog_e03.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:56;15/01/2024;09:27:48;1 minute 52 seconds;Deploy;00:01:52
ImagingLog_e03.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;09:25:49;15/01/2024;09:27:48;1 minute 59 seconds;Deploy;00:01:59
ImagingLog_e03.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;09:25:19;15/01/2024;09:27:46;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e03.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;09:25:49;15/01/2024;09:27:47;1 minute 58 seconds;Deploy;00:01:58
ImagingLog_e04.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:13;15/01/2024;10:20:07;2 minutes 54 seconds;Deploy;00:02:54
ImagingLog_e04.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:12;15/01/2024;10:20:05;2 minutes 53 seconds;Deploy;00:02:53
ImagingLog_e04.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:17:08;15/01/2024;10:20:05;2 minutes 57 seconds;Deploy;00:02:57
ImagingLog_e04.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:17:11;15/01/2024;10:20:04;2 minutes 53 seconds;Deploy;00:02:53
ImagingLog_e04.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:26;15/01/2024;10:20:05;2 minutes 39 seconds;Deploy;00:02:39
ImagingLog_e04.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:27;15/01/2024;10:20:04;2 minutes 37 seconds;Deploy;00:02:37
ImagingLog_e04.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:22;15/01/2024;10:20:05;2 minutes 43 seconds;Deploy;00:02:43
ImagingLog_e04.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:23;15/01/2024;10:20:05;2 minutes 42 seconds;Deploy;00:02:42
ImagingLog_e04.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:18:29;15/01/2024;10:20:06;1 minute 37 seconds;Deploy;00:01:37
ImagingLog_e04.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:33;15/01/2024;10:20:04;2 minutes 31 seconds;Deploy;00:02:31
ImagingLog_e04.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:39;15/01/2024;10:20:06;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e04.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:17:30;15/01/2024;10:20:07;2 minutes 37 seconds;Deploy;00:02:37
ImagingLog_e04.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;10:17:02;15/01/2024;10:20:06;3 minutes 4 seconds;Deploy;00:03:04
ImagingLog_e04.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;10:17:30;15/01/2024;10:20:06;2 minutes 36 seconds;Deploy;00:02:36
ImagingLog_e05.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:31;15/01/2024;10:34:38;2 minutes 7 seconds;Deploy;00:02:07
ImagingLog_e05.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:45;15/01/2024;10:34:38;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:32:25;15/01/2024;10:34:37;2 minutes 12 seconds;Deploy;00:02:12
ImagingLog_e05.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:32:30;15/01/2024;10:34:37;2 minutes 7 seconds;Deploy;00:02:07
ImagingLog_e05.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:44;15/01/2024;10:34:37;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:45;15/01/2024;10:34:38;1 minute 53 seconds;Deploy;00:01:53
ImagingLog_e05.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:40;15/01/2024;10:34:38;1 minute 58 seconds;Deploy;00:01:58
ImagingLog_e05.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:41;15/01/2024;10:34:37;1 minute 56 seconds;Deploy;00:01:56
ImagingLog_e05.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:37;1 minute 43 seconds;Deploy;00:01:43
ImagingLog_e05.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:38;1 minute 44 seconds;Deploy;00:01:44
ImagingLog_e05.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:58;15/01/2024;10:34:38;1 minute 40 seconds;Deploy;00:01:40
ImagingLog_e05.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:32:43;15/01/2024;10:34:37;1 minute 54 seconds;Deploy;00:01:54
ImagingLog_e05.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;10:32:19;15/01/2024;10:34:38;2 minutes 19 seconds;Deploy;00:02:19
ImagingLog_e05.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:38;1 minute 44 seconds;Deploy;00:01:44
ImagingLog_e06.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:51:09;15/01/2024;10:52:47;1 minute 38 seconds;Deploy;00:01:38
ImagingLog_e06.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:50:48;15/01/2024;10:52:48;2 minutes ;Deploy;00:02:00
ImagingLog_e06.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:50:40;15/01/2024;10:52:46;2 minutes 6 seconds;Deploy;00:02:06
ImagingLog_e06.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:50:45;15/01/2024;10:52:47;2 minutes 2 seconds;Deploy;00:02:02
ImagingLog_e06.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:17;15/01/2024;10:52:48;2 minutes 31 seconds;Deploy;00:02:31
ImagingLog_e06.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:21;15/01/2024;10:52:48;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e06.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:19;15/01/2024;10:52:47;2 minutes 28 seconds;Deploy;00:02:28
ImagingLog_e06.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:24;15/01/2024;10:52:48;2 minutes 24 seconds;Deploy;00:02:24
ImagingLog_e06.csv;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:23;15/01/2024;10:52:47;2 minutes 24 seconds;Deploy;00:02:24
ImagingLog_e06.csv;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:22;15/01/2024;10:52:46;2 minutes 24 seconds;Deploy;00:02:24
ImagingLog_e06.csv;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:29;15/01/2024;10:52:47;2 minutes 18 seconds;Deploy;00:02:18
ImagingLog_e06.csv;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:20;15/01/2024;10:52:47;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e06.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;10:50:43;15/01/2024;10:52:48;2 minutes 5 seconds;Deploy;00:02:05
